task,source,upto,layers,heads,terms,train_words,model_hard_accuracy,train_accuracy,test_accuracy,disagreements,seconds
rand_007,examples/brasp/random_deeper/rand_007.brasp,3,9,1,1,527,1.0,1.0,1.0,0,88.0
rand_008,examples/brasp/random100/rand_008.brasp,3,4,1,1,527,1.0,1.0,1.0,0,56.1
rand_008,examples/brasp/random_deep/rand_008.brasp,3,5,1,1,552,1.0,1.0,1.0,0,65.4
rand_008,examples/brasp/random_deeper/rand_008.brasp,3,9,1,1,527,1.0,1.0,1.0,0,280.0
rand_009,examples/brasp/random_deeper/rand_009.brasp,3,11,1,1,552,1.0,1.0,1.0,0,110.4
rand_009,examples/brasp/random100/rand_009.brasp,3,2,1,1,552,1.0,1.0,1.0,0,41.6
rand_010,examples/brasp/random_deeper/rand_010.brasp,3,11,1,1,527,1.0,1.0,1.0,0,216.6
rand_010,examples/brasp/random_deep/rand_010.brasp,3,5,1,1,527,1.0,1.0,1.0,0,66.3
rand_011,examples/brasp/random100/rand_011.brasp,3,4,1,1,552,1.0,1.0,1.0,0,59.1
rand_011,examples/brasp/random_deep/rand_011.brasp,3,6,1,2,552,1.0,1.0,1.0,0,171.5
rand_011,examples/brasp/random_deeper/rand_011.brasp,3,9,1,2,552,1.0,1.0,1.0,0,113.3
rand_012,examples/brasp/random_deeper/rand_012.brasp,3,10,1,1,552,1.0,1.0,1.0,0,192.7
rand_012,examples/brasp/random100/rand_012.brasp,3,1,1,1,552,1.0,1.0,1.0,0,27.0
rand_012,examples/brasp/random_deep/rand_012.brasp,3,5,1,1,527,1.0,1.0,1.0,0,128.9
rand_013,examples/brasp/random100/rand_013.brasp,3,3,1,2,552,1.0,1.0,1.0,0,58.3
rand_013,examples/brasp/random_deep/rand_013.brasp,3,8,1,1,552,1.0,1.0,1.0,0,81.6
rand_013,examples/brasp/random_deeper/rand_013.brasp,3,9,1,2,552,1.0,1.0,1.0,0,235.1
rand_014,examples/brasp/random100/rand_014.brasp,3,3,1,2,527,1.0,1.0,1.0,0,106.0
rand_014,examples/brasp/random_deep/rand_014.brasp,3,6,1,1,527,1.0,1.0,1.0,0,74.6
rand_015,examples/brasp/random100/rand_015.brasp,3,3,1,2,552,1.0,1.0,1.0,0,114.9
rand_015,examples/brasp/random_deep/rand_015.brasp,3,6,1,1,552,1.0,1.0,1.0,0,70.9
rand_015,examples/brasp/random_deeper/rand_015.brasp,3,9,1,1,552,1.0,1.0,1.0,0,90.4
rand_016,examples/brasp/random100/rand_016.brasp,3,3,1,1,527,1.0,1.0,1.0,0,49.6
rand_016,examples/brasp/random_deep/rand_016.brasp,3,5,1,1,527,1.0,1.0,1.0,0,65.7
rand_018,examples/brasp/random100/rand_018.brasp,3,2,1,1,527,1.0,1.0,1.0,0,42.0
rand_018,examples/brasp/random_deep/rand_018.brasp,3,5,1,1,552,1.0,1.0,1.0,0,129.4
rand_019,examples/brasp/random100/rand_019.brasp,3,3,2,1,527,1.0,1.0,1.0,0,132.0
rand_019,examples/brasp/random_deep/rand_019.brasp,3,5,1,1,527,1.0,1.0,1.0,0,66.1
rand_020,examples/brasp/random100/rand_020.brasp,3,3,1,1,527,1.0,1.0,1.0,0,95.2
rand_020,examples/brasp/random_deep/rand_020.brasp,3,6,1,2,527,1.0,1.0,1.0,0,89.0
rand_021,examples/brasp/random100/rand_021.brasp,3,4,1,2,552,1.0,1.0,1.0,0,69.1
rand_022,examples/brasp/random_deep/rand_022.brasp,3,5,1,1,552,1.0,1.0,1.0,0,65.4
rand_023,examples/brasp/random100/rand_023.brasp,3,4,2,2,552,1.0,1.0,1.0,0,218.5
rand_023,examples/brasp/random_deep/rand_023.brasp,3,5,1,2,527,1.0,1.0,1.0,0,81.3
rand_024,examples/brasp/random100/rand_024.brasp,3,2,1,1,552,1.0,1.0,1.0,0,124.5
rand_025,examples/brasp/random100/rand_025.brasp,3,4,1,2,552,1.0,1.0,1.0,0,72.7
rand_027,examples/brasp/random100/rand_027.brasp,3,3,1,2,552,1.0,1.0,1.0,0,55.0
rand_028,examples/brasp/random100/rand_028.brasp,3,3,1,1,552,1.0,1.0,1.0,0,49.8
rand_029,examples/brasp/random100/rand_029.brasp,3,3,1,1,552,1.0,1.0,1.0,0,50.1
rand_030,examples/brasp/random100/rand_030.brasp,3,4,1,1,527,1.0,1.0,1.0,0,115.2
rand_031,examples/brasp/random100/rand_031.brasp,3,3,1,1,527,1.0,1.0,1.0,0,51.2
rand_032,examples/brasp/random100/rand_032.brasp,3,2,1,1,552,1.0,1.0,1.0,0,41.6
rand_033,examples/brasp/random100/rand_033.brasp,3,2,1,1,527,1.0,1.0,1.0,0,42.3
rand_034,examples/brasp/random100/rand_034.brasp,3,3,1,1,527,1.0,1.0,1.0,0,50.8
rand_035,examples/brasp/random100/rand_035.brasp,3,3,1,1,527,1.0,1.0,1.0,0,211.1
rand_036,examples/brasp/random100/rand_036.brasp,3,2,1,1,552,1.0,1.0,1.0,0,39.3
rand_037,examples/brasp/random100/rand_037.brasp,3,3,1,1,527,1.0,1.0,1.0,0,100.0
rand_038,examples/brasp/random100/rand_038.brasp,3,4,2,2,552,1.0,1.0,1.0,0,311.8
rand_039,examples/brasp/random100/rand_039.brasp,3,3,1,1,527,1.0,1.0,1.0,0,49.0
rand_040,examples/brasp/random100/rand_040.brasp,3,3,1,1,552,1.0,1.0,1.0,0,50.0
rand_041,examples/brasp/random100/rand_041.brasp,3,1,2,1,527,1.0,1.0,1.0,0,40.9
rand_043,examples/brasp/random100/rand_043.brasp,3,3,1,1,527,1.0,1.0,1.0,0,49.0
rand_044,examples/brasp/random100/rand_044.brasp,3,2,1,1,552,1.0,1.0,1.0,0,124.2
rand_045,examples/brasp/random100/rand_045.brasp,3,3,1,1,527,1.0,1.0,1.0,0,49.3
rand_047,examples/brasp/random100/rand_047.brasp,3,3,1,1,552,0.992754,0.992754,0.997,0,576.8
rand_048,examples/brasp/random100/rand_048.brasp,3,4,1,2,527,1.0,1.0,1.0,0,130.2
rand_049,examples/brasp/random100/rand_049.brasp,3,3,1,2,552,1.0,1.0,1.0,0,165.1
rand_050,examples/brasp/random100/rand_050.brasp,3,4,1,2,552,1.0,1.0,1.0,0,65.7
rand_051,examples/brasp/random100/rand_051.brasp,3,3,1,1,552,1.0,1.0,1.0,0,50.2
rand_052,examples/brasp/random100/rand_052.brasp,3,2,1,1,527,1.0,1.0,1.0,0,31.1
rand_053,examples/brasp/random100/rand_053.brasp,3,3,1,1,552,1.0,1.0,1.0,0,53.0
rand_054,examples/brasp/random100/rand_054.brasp,3,3,1,1,527,1.0,1.0,1.0,0,50.3
rand_055,examples/brasp/random100/rand_055.brasp,3,2,1,1,527,1.0,1.0,1.0,0,123.9
rand_056,examples/brasp/random100/rand_056.brasp,3,2,1,1,552,1.0,1.0,1.0,0,44.8
rand_057,examples/brasp/random100/rand_057.brasp,3,3,1,1,552,1.0,1.0,1.0,0,53.6
rand_059,examples/brasp/random100/rand_059.brasp,3,2,1,1,552,1.0,1.0,1.0,0,83.2
rand_060,examples/brasp/random100/rand_060.brasp,3,1,2,1,552,1.0,1.0,1.0,0,39.4
rand_061,examples/brasp/random100/rand_061.brasp,3,3,1,1,527,1.0,1.0,1.0,0,49.2
rand_062,examples/brasp/random100/rand_062.brasp,3,3,2,2,552,1.0,1.0,1.0,0,90.2
rand_063,examples/brasp/random100/rand_063.brasp,3,4,2,2,527,0.990512,0.990512,0.999,0,1214.4
rand_064,examples/brasp/random100/rand_064.brasp,3,3,1,1,552,1.0,1.0,1.0,0,51.1
rand_065,examples/brasp/random100/rand_065.brasp,3,2,1,1,527,1.0,1.0,1.0,0,43.0
rand_066,examples/brasp/random100/rand_066.brasp,3,3,1,1,552,1.0,1.0,1.0,0,99.5
rand_067,examples/brasp/random100/rand_067.brasp,3,4,1,2,552,1.0,1.0,1.0,0,67.1
rand_068,examples/brasp/random100/rand_068.brasp,3,4,1,2,552,1.0,1.0,1.0,0,69.2
rand_069,examples/brasp/random100/rand_069.brasp,3,4,1,1,552,1.0,1.0,1.0,0,58.8
rand_070,examples/brasp/random100/rand_070.brasp,3,4,1,1,527,1.0,1.0,1.0,0,109.3
rand_071,examples/brasp/random100/rand_071.brasp,3,4,1,1,527,1.0,1.0,1.0,0,57.9
rand_072,examples/brasp/random100/rand_072.brasp,3,4,1,1,527,1.0,1.0,1.0,0,55.8
rand_073,examples/brasp/random100/rand_073.brasp,3,3,1,1,552,1.0,1.0,1.0,0,53.6
rand_075,examples/brasp/random100/rand_075.brasp,3,3,1,2,552,1.0,1.0,1.0,0,108.0
rand_076,examples/brasp/random100/rand_076.brasp,3,3,2,2,552,0.980072,0.980072,0.999,0,1068.0
rand_077,examples/brasp/random100/rand_077.brasp,3,2,1,1,527,1.0,1.0,1.0,0,42.8
rand_078,examples/brasp/random100/rand_078.brasp,3,2,1,1,527,1.0,1.0,1.0,0,42.3
rand_080,examples/brasp/random100/rand_080.brasp,3,4,2,2,552,1.0,1.0,1.0,0,101.3
rand_081,examples/brasp/random100/rand_081.brasp,3,4,1,1,552,1.0,1.0,1.0,0,59.2
rand_082,examples/brasp/random100/rand_082.brasp,3,4,1,2,527,1.0,1.0,1.0,0,72.2
rand_083,examples/brasp/random100/rand_083.brasp,3,3,1,1,552,1.0,1.0,1.0,0,48.8
rand_085,examples/brasp/random100/rand_085.brasp,3,3,1,1,527,1.0,1.0,1.0,0,48.8
rand_086,examples/brasp/random100/rand_086.brasp,3,2,1,1,552,1.0,1.0,1.0,0,43.5
rand_087,examples/brasp/random100/rand_087.brasp,3,3,1,1,552,1.0,1.0,1.0,0,49.9
rand_088,examples/brasp/random100/rand_088.brasp,3,4,1,1,552,1.0,1.0,1.0,0,63.3
rand_089,examples/brasp/random100/rand_089.brasp,3,2,1,2,552,1.0,1.0,1.0,0,45.7
rand_090,examples/brasp/random100/rand_090.brasp,3,3,1,1,552,1.0,1.0,1.0,0,49.8
rand_091,examples/brasp/random100/rand_091.brasp,3,2,1,2,527,1.0,1.0,1.0,0,86.9
rand_092,examples/brasp/random100/rand_092.brasp,3,3,1,1,552,1.0,1.0,1.0,0,50.1
rand_093,examples/brasp/random100/rand_093.brasp,3,3,2,2,552,1.0,1.0,1.0,0,93.2
rand_094,examples/brasp/random100/rand_094.brasp,3,3,1,1,552,1.0,1.0,1.0,0,100.8
rand_095,examples/brasp/random100/rand_095.brasp,3,2,2,1,552,1.0,1.0,1.0,0,111.0
rand_096,examples/brasp/random100/rand_096.brasp,3,3,1,1,527,1.0,1.0,1.0,0,50.6
rand_097,examples/brasp/random100/rand_097.brasp,3,4,1,1,527,1.0,1.0,1.0,0,498.9
rand_098,examples/brasp/random100/rand_098.brasp,3,4,1,1,552,1.0,1.0,1.0,0,59.1
rand_099,examples/brasp/random100/rand_099.brasp,3,2,1,2,527,1.0,1.0,1.0,0,42.8
rand_000,examples/brasp/random100/rand_000.brasp,2,3,1,1,525,1.0,1.0,1.0,0,49.7
rand_001,examples/brasp/random100/rand_001.brasp,2,3,1,2,519,0.959538,0.959538,0.9995,0,656.7
rand_001,examples/brasp/random_deep/rand_001.brasp,2,6,1,1,519,1.0,1.0,1.0,0,68.3
rand_001,examples/brasp/random_deeper/rand_001.brasp,2,9,1,2,519,1.0,1.0,1.0,0,221.2
rand_002,examples/brasp/random_deeper/rand_002.brasp,2,11,1,1,525,1.0,1.0,1.0,0,327.6
rand_002,examples/brasp/random100/rand_002.brasp,2,3,1,1,525,1.0,1.0,1.0,0,48.9
rand_003,examples/brasp/random100/rand_003.brasp,2,3,1,1,519,1.0,1.0,1.0,0,52.1
rand_003,examples/brasp/random_deep/rand_003.brasp,2,5,1,2,519,1.0,1.0,1.0,0,78.1
rand_003,examples/brasp/random_deeper/rand_003.brasp,2,9,1,2,519,1.0,1.0,1.0,0,218.4
rand_004,examples/brasp/random100/rand_004.brasp,2,4,1,1,519,1.0,1.0,1.0,0,61.5
rand_004,examples/brasp/random_deep/rand_004.brasp,2,5,1,2,525,1.0,1.0,1.0,0,81.8
rand_004,examples/brasp/random_deeper/rand_004.brasp,2,9,1,1,519,1.0,1.0,1.0,0,88.9
rand_005,examples/brasp/random100/rand_005.brasp,2,2,1,1,525,1.0,1.0,1.0,0,42.5
rand_005,examples/brasp/random_deep/rand_005.brasp,2,5,1,1,525,1.0,1.0,1.0,0,65.3
rand_006,examples/brasp/random100/rand_006.brasp,2,2,1,2,519,1.0,1.0,1.0,0,45.2
rand_006,examples/brasp/random_deep/rand_006.brasp,2,6,1,2,519,1.0,1.0,1.0,0,171.2
rand_006,examples/brasp/random_deeper/rand_006.brasp,2,9,1,2,519,1.0,1.0,1.0,0,357.9
rand_007,examples/brasp/random100/rand_007.brasp,2,2,1,1,525,1.0,1.0,1.0,0,42.0
rand_007,examples/brasp/random_deep/rand_007.brasp,2,5,1,2,525,1.0,1.0,1.0,0,154.9
rand_007,examples/brasp/random_deeper/rand_007.brasp,2,9,1,1,519,1.0,1.0,1.0,0,89.4
rand_008,examples/brasp/random100/rand_008.brasp,2,4,1,1,519,1.0,1.0,1.0,0,63.1
rand_008,examples/brasp/random_deep/rand_008.brasp,2,5,1,1,525,1.0,1.0,1.0,0,65.8
rand_008,examples/brasp/random_deeper/rand_008.brasp,2,9,1,1,519,1.0,1.0,1.0,0,86.5
rand_009,examples/brasp/random_deeper/rand_009.brasp,2,11,1,1,525,1.0,1.0,1.0,0,111.3
rand_009,examples/brasp/random100/rand_009.brasp,2,2,1,1,525,1.0,1.0,1.0,0,43.6
rand_010,examples/brasp/random_deeper/rand_010.brasp,2,11,1,1,519,1.0,1.0,1.0,0,211.7
rand_010,examples/brasp/random_deep/rand_010.brasp,2,5,1,1,519,1.0,1.0,1.0,0,65.0
rand_011,examples/brasp/random100/rand_011.brasp,2,4,1,1,525,1.0,1.0,1.0,0,61.4
rand_011,examples/brasp/random_deep/rand_011.brasp,2,6,1,2,525,1.0,1.0,1.0,0,866.3
rand_011,examples/brasp/random_deeper/rand_011.brasp,2,9,1,2,525,1.0,1.0,1.0,0,526.6
rand_012,examples/brasp/random_deeper/rand_012.brasp,2,10,1,1,525,1.0,1.0,1.0,0,197.0
rand_012,examples/brasp/random100/rand_012.brasp,2,1,1,1,525,1.0,1.0,1.0,0,27.2
rand_012,examples/brasp/random_deep/rand_012.brasp,2,5,1,1,519,1.0,1.0,1.0,0,130.9
rand_013,examples/brasp/random100/rand_013.brasp,2,3,1,2,525,1.0,1.0,1.0,0,175.0
rand_013,examples/brasp/random_deep/rand_013.brasp,2,8,1,1,525,1.0,1.0,1.0,0,81.4
rand_013,examples/brasp/random_deeper/rand_013.brasp,2,9,1,2,525,1.0,1.0,1.0,0,228.3
rand_014,examples/brasp/random100/rand_014.brasp,2,3,1,2,519,1.0,1.0,1.0,0,108.8
rand_014,examples/brasp/random_deep/rand_014.brasp,2,6,1,1,519,1.0,1.0,1.0,0,71.9
rand_015,examples/brasp/random100/rand_015.brasp,2,3,1,2,525,1.0,1.0,1.0,0,115.4
rand_015,examples/brasp/random_deep/rand_015.brasp,2,6,1,1,525,1.0,1.0,1.0,0,66.3
rand_015,examples/brasp/random_deeper/rand_015.brasp,2,9,1,1,525,1.0,1.0,1.0,0,92.8
rand_016,examples/brasp/random100/rand_016.brasp,2,3,1,1,519,1.0,1.0,1.0,0,50.0
rand_016,examples/brasp/random_deep/rand_016.brasp,2,5,1,1,519,1.0,1.0,1.0,0,65.5
rand_018,examples/brasp/random100/rand_018.brasp,2,2,1,1,519,1.0,1.0,1.0,0,43.2
rand_018,examples/brasp/random_deep/rand_018.brasp,2,5,1,1,525,1.0,1.0,1.0,0,131.5
rand_019,examples/brasp/random100/rand_019.brasp,2,3,2,1,519,1.0,1.0,1.0,0,146.6
rand_019,examples/brasp/random_deep/rand_019.brasp,2,5,1,1,519,1.0,1.0,1.0,0,65.5
rand_020,examples/brasp/random100/rand_020.brasp,2,3,1,1,519,1.0,1.0,1.0,0,97.8
rand_020,examples/brasp/random_deep/rand_020.brasp,2,6,1,2,519,1.0,1.0,1.0,0,85.1
rand_021,examples/brasp/random100/rand_021.brasp,2,4,1,2,525,1.0,1.0,1.0,0,68.1
rand_022,examples/brasp/random_deep/rand_022.brasp,2,5,1,1,525,1.0,1.0,1.0,0,64.4
rand_023,examples/brasp/random100/rand_023.brasp,2,4,2,2,525,1.0,1.0,1.0,0,215.4
rand_023,examples/brasp/random_deep/rand_023.brasp,2,5,1,2,519,1.0,1.0,1.0,0,80.0
rand_024,examples/brasp/random100/rand_024.brasp,2,2,1,1,525,1.0,1.0,1.0,0,243.5
rand_025,examples/brasp/random100/rand_025.brasp,2,4,1,2,525,1.0,1.0,1.0,0,67.5
rand_027,examples/brasp/random100/rand_027.brasp,2,3,1,2,525,1.0,1.0,1.0,0,58.6
rand_028,examples/brasp/random100/rand_028.brasp,2,3,1,1,525,1.0,1.0,1.0,0,50.9
rand_029,examples/brasp/random100/rand_029.brasp,2,3,1,1,525,1.0,1.0,1.0,0,47.1
rand_030,examples/brasp/random100/rand_030.brasp,2,4,1,1,519,1.0,1.0,1.0,0,122.8
rand_031,examples/brasp/random100/rand_031.brasp,2,3,1,1,519,1.0,1.0,1.0,0,52.8
rand_032,examples/brasp/random100/rand_032.brasp,2,2,1,1,525,1.0,1.0,1.0,0,42.5
rand_033,examples/brasp/random100/rand_033.brasp,2,2,1,1,519,1.0,1.0,1.0,0,42.0
rand_034,examples/brasp/random100/rand_034.brasp,2,3,1,1,519,1.0,1.0,1.0,0,49.0
rand_035,examples/brasp/random100/rand_035.brasp,2,3,1,1,519,1.0,1.0,1.0,0,185.9
rand_036,examples/brasp/random100/rand_036.brasp,2,2,1,1,525,1.0,1.0,1.0,0,43.9
rand_037,examples/brasp/random100/rand_037.brasp,2,3,1,1,519,1.0,1.0,1.0,0,105.1
rand_038,examples/brasp/random100/rand_038.brasp,2,4,2,2,525,1.0,1.0,1.0,0,311.2
rand_039,examples/brasp/random100/rand_039.brasp,2,3,1,1,519,1.0,1.0,1.0,0,50.1
rand_040,examples/brasp/random100/rand_040.brasp,2,3,1,1,525,1.0,1.0,1.0,0,47.2
rand_041,examples/brasp/random100/rand_041.brasp,2,1,2,1,519,1.0,1.0,1.0,0,40.7
rand_043,examples/brasp/random100/rand_043.brasp,2,3,1,1,519,1.0,1.0,1.0,0,49.3
rand_044,examples/brasp/random100/rand_044.brasp,2,2,1,1,525,1.0,1.0,1.0,0,125.0
rand_045,examples/brasp/random100/rand_045.brasp,2,3,1,1,519,1.0,1.0,1.0,0,53.3
rand_047,examples/brasp/random100/rand_047.brasp,2,3,1,1,525,1.0,1.0,1.0,0,246.2
rand_048,examples/brasp/random100/rand_048.brasp,2,4,1,2,519,1.0,1.0,1.0,0,134.6
rand_049,examples/brasp/random100/rand_049.brasp,2,3,1,2,525,1.0,1.0,1.0,0,163.8
rand_050,examples/brasp/random100/rand_050.brasp,2,4,1,2,525,1.0,1.0,1.0,0,71.7
rand_051,examples/brasp/random100/rand_051.brasp,2,3,1,1,525,1.0,1.0,1.0,0,51.4
rand_052,examples/brasp/random100/rand_052.brasp,2,2,1,1,519,1.0,1.0,1.0,0,121.6
rand_053,examples/brasp/random100/rand_053.brasp,2,3,1,1,525,1.0,1.0,1.0,0,50.9
rand_054,examples/brasp/random100/rand_054.brasp,2,3,1,1,519,1.0,1.0,1.0,0,102.4
rand_055,examples/brasp/random100/rand_055.brasp,2,2,1,1,519,1.0,1.0,1.0,0,116.4
rand_056,examples/brasp/random100/rand_056.brasp,2,2,1,1,525,1.0,1.0,1.0,0,39.4
rand_057,examples/brasp/random100/rand_057.brasp,2,3,1,1,525,1.0,1.0,1.0,0,50.1
rand_059,examples/brasp/random100/rand_059.brasp,2,2,1,1,525,1.0,1.0,1.0,0,82.5
rand_060,examples/brasp/random100/rand_060.brasp,2,1,2,1,525,1.0,1.0,1.0,0,41.2
rand_061,examples/brasp/random100/rand_061.brasp,2,3,1,1,519,1.0,1.0,1.0,0,49.7
rand_062,examples/brasp/random100/rand_062.brasp,2,3,2,2,525,1.0,1.0,1.0,0,89.6
rand_063,examples/brasp/random100/rand_063.brasp,2,4,2,2,519,1.0,1.0,1.0,0,1241.3
rand_064,examples/brasp/random100/rand_064.brasp,2,3,1,1,525,1.0,1.0,1.0,0,49.8
rand_065,examples/brasp/random100/rand_065.brasp,2,2,1,1,519,1.0,1.0,1.0,0,42.2
rand_066,examples/brasp/random100/rand_066.brasp,2,3,1,1,525,1.0,1.0,1.0,0,49.0
rand_067,examples/brasp/random100/rand_067.brasp,2,4,1,2,525,1.0,1.0,1.0,0,68.1
rand_068,examples/brasp/random100/rand_068.brasp,2,4,1,2,525,1.0,1.0,1.0,0,72.6
rand_069,examples/brasp/random100/rand_069.brasp,2,4,1,1,525,1.0,1.0,1.0,0,59.2
rand_070,examples/brasp/random100/rand_070.brasp,2,4,1,1,519,1.0,1.0,1.0,0,121.0
rand_071,examples/brasp/random100/rand_071.brasp,2,4,1,1,519,1.0,1.0,1.0,0,62.9
rand_072,examples/brasp/random100/rand_072.brasp,2,4,1,1,519,1.0,1.0,1.0,0,60.3
rand_073,examples/brasp/random100/rand_073.brasp,2,3,1,1,525,1.0,1.0,1.0,0,50.5
rand_075,examples/brasp/random100/rand_075.brasp,2,3,1,2,525,1.0,1.0,1.0,0,106.8
rand_076,examples/brasp/random100/rand_076.brasp,2,3,2,2,525,0.988571,0.988571,0.999,0,1002.3
rand_077,examples/brasp/random100/rand_077.brasp,2,2,1,1,519,1.0,1.0,1.0,0,42.9
rand_078,examples/brasp/random100/rand_078.brasp,2,2,1,1,519,1.0,1.0,1.0,0,41.8
rand_080,examples/brasp/random100/rand_080.brasp,2,4,2,2,525,1.0,1.0,1.0,0,108.5
rand_081,examples/brasp/random100/rand_081.brasp,2,4,1,1,525,1.0,1.0,1.0,0,60.9
rand_082,examples/brasp/random100/rand_082.brasp,2,4,1,2,519,1.0,1.0,1.0,0,68.6
rand_083,examples/brasp/random100/rand_083.brasp,2,3,1,1,525,1.0,1.0,1.0,0,50.8
rand_085,examples/brasp/random100/rand_085.brasp,2,3,1,1,519,1.0,1.0,1.0,0,49.8
rand_086,examples/brasp/random100/rand_086.brasp,2,2,1,1,525,1.0,1.0,1.0,0,42.2
rand_087,examples/brasp/random100/rand_087.brasp,2,3,1,1,525,1.0,1.0,1.0,0,50.5
rand_088,examples/brasp/random100/rand_088.brasp,2,4,1,1,525,1.0,1.0,1.0,0,58.9
rand_089,examples/brasp/random100/rand_089.brasp,2,2,1,2,525,1.0,1.0,1.0,0,44.3
rand_090,examples/brasp/random100/rand_090.brasp,2,3,1,1,525,1.0,1.0,1.0,0,51.3
rand_091,examples/brasp/random100/rand_091.brasp,2,2,1,2,519,1.0,1.0,1.0,0,88.4
rand_092,examples/brasp/random100/rand_092.brasp,2,3,1,1,525,1.0,1.0,1.0,0,50.2
rand_093,examples/brasp/random100/rand_093.brasp,2,3,2,2,525,1.0,1.0,1.0,0,429.5
rand_094,examples/brasp/random100/rand_094.brasp,2,3,1,1,525,1.0,1.0,1.0,0,50.1
rand_095,examples/brasp/random100/rand_095.brasp,2,2,2,1,525,1.0,1.0,1.0,0,112.3
rand_096,examples/brasp/random100/rand_096.brasp,2,3,1,1,519,1.0,1.0,1.0,0,49.3
rand_097,examples/brasp/random100/rand_097.brasp,2,4,1,1,519,1.0,1.0,1.0,0,109.6
rand_098,examples/brasp/random100/rand_098.brasp,2,4,1,1,525,1.0,1.0,1.0,0,58.1
rand_099,examples/brasp/random100/rand_099.brasp,2,2,1,2,519,1.0,1.0,1.0,0,44.8
