task,upto,layers,heads,terms,source,train_accuracy,test_accuracy,perfect,verdict
rand_028,4,3,1,1,examples/brasp/random100/rand_028.brasp,1.0,1.0,1,PROVED
rand_029,4,3,1,1,examples/brasp/random100/rand_029.brasp,1.0,1.0,1,PROVED
rand_030,4,4,1,1,examples/brasp/random100/rand_030.brasp,1.0,1.0,1,PROVED
rand_031,4,3,1,1,examples/brasp/random100/rand_031.brasp,1.0,1.0,1,PROVED
rand_032,4,2,1,1,examples/brasp/random100/rand_032.brasp,1.0,1.0,1,PROVED
rand_033,4,2,1,1,examples/brasp/random100/rand_033.brasp,1.0,1.0,1,PROVED
rand_034,4,3,1,1,examples/brasp/random100/rand_034.brasp,1.0,1.0,1,PROVED
rand_035,4,3,1,1,examples/brasp/random100/rand_035.brasp,1.0,1.0,1,PROVED
rand_036,4,2,1,1,examples/brasp/random100/rand_036.brasp,1.0,1.0,1,PROVED
rand_037,4,3,1,1,examples/brasp/random100/rand_037.brasp,1.0,1.0,1,PROVED
rand_038,4,4,2,2,examples/brasp/random100/rand_038.brasp,1.0,1.0,1,PROVED
rand_039,4,3,1,1,examples/brasp/random100/rand_039.brasp,1.0,1.0,1,PROVED
rand_040,4,3,1,1,examples/brasp/random100/rand_040.brasp,1.0,1.0,1,PROVED
rand_041,4,1,2,1,examples/brasp/random100/rand_041.brasp,1.0,1.0,1,PROVED
rand_043,4,3,1,1,examples/brasp/random100/rand_043.brasp,1.0,1.0,1,PROVED
rand_044,4,2,1,1,examples/brasp/random100/rand_044.brasp,1.0,1.0,1,PROVED
rand_045,4,3,1,1,examples/brasp/random100/rand_045.brasp,1.0,1.0,1,PROVED
rand_047,4,3,1,1,examples/brasp/random100/rand_047.brasp,1.0,1.0,1,PROVED
rand_048,4,4,1,2,examples/brasp/random100/rand_048.brasp,1.0,1.0,1,PROVED
rand_049,4,3,1,2,examples/brasp/random100/rand_049.brasp,1.0,1.0,1,PROVED
rand_050,4,4,1,2,examples/brasp/random100/rand_050.brasp,1.0,1.0,1,PROVED
rand_051,4,3,1,1,examples/brasp/random100/rand_051.brasp,1.0,1.0,1,PROVED
rand_052,4,2,1,1,examples/brasp/random100/rand_052.brasp,1.0,1.0,1,PROVED
rand_053,4,3,1,1,examples/brasp/random100/rand_053.brasp,1.0,1.0,1,PROVED
rand_054,4,3,1,1,examples/brasp/random100/rand_054.brasp,1.0,1.0,1,PROVED
rand_055,4,2,1,1,examples/brasp/random100/rand_055.brasp,1.0,1.0,1,PROVED
rand_056,4,2,1,1,examples/brasp/random100/rand_056.brasp,1.0,1.0,1,PROVED
rand_057,4,3,1,1,examples/brasp/random100/rand_057.brasp,1.0,1.0,1,PROVED
rand_059,4,2,1,1,examples/brasp/random100/rand_059.brasp,1.0,1.0,1,PROVED
rand_060,4,1,2,1,examples/brasp/random100/rand_060.brasp,1.0,1.0,1,PROVED
rand_061,4,3,1,1,examples/brasp/random100/rand_061.brasp,1.0,1.0,1,PROVED
rand_062,4,3,2,2,examples/brasp/random100/rand_062.brasp,1.0,1.0,1,PROVED
rand_064,4,3,1,1,examples/brasp/random100/rand_064.brasp,1.0,1.0,1,PROVED
rand_065,4,2,1,1,examples/brasp/random100/rand_065.brasp,1.0,1.0,1,PROVED
rand_066,4,3,1,1,examples/brasp/random100/rand_066.brasp,1.0,1.0,1,PROVED
rand_067,4,4,1,2,examples/brasp/random100/rand_067.brasp,1.0,1.0,1,PROVED
rand_068,4,4,1,2,examples/brasp/random100/rand_068.brasp,1.0,1.0,1,PROVED
rand_069,4,4,1,1,examples/brasp/random100/rand_069.brasp,1.0,1.0,1,PROVED
rand_070,4,4,1,1,examples/brasp/random100/rand_070.brasp,1.0,1.0,1,PROVED
rand_071,4,4,1,1,examples/brasp/random100/rand_071.brasp,1.0,1.0,1,PROVED
rand_072,4,4,1,1,examples/brasp/random100/rand_072.brasp,1.0,1.0,1,PROVED
rand_073,4,3,1,1,examples/brasp/random100/rand_073.brasp,1.0,1.0,1,PROVED
rand_075,4,3,1,2,examples/brasp/random100/rand_075.brasp,1.0,1.0,1,PROVED
rand_077,4,2,1,1,examples/brasp/random100/rand_077.brasp,1.0,1.0,1,PROVED
rand_078,4,2,1,1,examples/brasp/random100/rand_078.brasp,1.0,1.0,1,PROVED
rand_080,4,4,2,2,examples/brasp/random100/rand_080.brasp,1.0,1.0,1,PROVED
rand_081,4,4,1,1,examples/brasp/random100/rand_081.brasp,1.0,1.0,1,PROVED
rand_082,4,4,1,2,examples/brasp/random100/rand_082.brasp,1.0,1.0,1,PROVED
rand_083,4,3,1,1,examples/brasp/random100/rand_083.brasp,1.0,1.0,1,PROVED
rand_085,4,3,1,1,examples/brasp/random100/rand_085.brasp,1.0,1.0,1,PROVED
rand_086,4,2,1,1,examples/brasp/random100/rand_086.brasp,1.0,1.0,1,PROVED
rand_087,4,3,1,1,examples/brasp/random100/rand_087.brasp,1.0,1.0,1,PROVED
rand_088,4,4,1,1,examples/brasp/random100/rand_088.brasp,1.0,1.0,1,PROVED
rand_089,4,2,1,2,examples/brasp/random100/rand_089.brasp,1.0,1.0,1,PROVED
rand_090,4,3,1,1,examples/brasp/random100/rand_090.brasp,1.0,1.0,1,PROVED
rand_091,4,2,1,2,examples/brasp/random100/rand_091.brasp,1.0,1.0,1,PROVED
rand_092,4,3,1,1,examples/brasp/random100/rand_092.brasp,1.0,1.0,1,PROVED
rand_093,4,3,2,2,examples/brasp/random100/rand_093.brasp,1.0,1.0,1,PROVED
rand_094,4,3,1,1,examples/brasp/random100/rand_094.brasp,1.0,1.0,1,PROVED
rand_095,4,2,2,1,examples/brasp/random100/rand_095.brasp,1.0,1.0,1,PROVED
rand_096,4,3,1,1,examples/brasp/random100/rand_096.brasp,1.0,1.0,1,PROVED
rand_097,4,4,1,1,examples/brasp/random100/rand_097.brasp,1.0,1.0,1,PROVED
rand_098,4,4,1,1,examples/brasp/random100/rand_098.brasp,1.0,1.0,1,PROVED
rand_099,4,2,1,2,examples/brasp/random100/rand_099.brasp,1.0,1.0,1,PROVED
rand_000,5,3,1,1,examples/brasp/random100/rand_000.brasp,1.0,1.0,1,PROVED
rand_001,5,3,1,2,examples/brasp/random100/rand_001.brasp,1.0,1.0,1,PROVED
rand_001,5,6,1,1,examples/brasp/random_deep/rand_001.brasp,1.0,1.0,1,PROVED
rand_001,5,9,1,2,examples/brasp/random_deeper/rand_001.brasp,1.0,1.0,1,PROVED
rand_002,5,11,1,1,examples/brasp/random_deeper/rand_002.brasp,1.0,1.0,1,PROVED
rand_002,5,3,1,1,examples/brasp/random100/rand_002.brasp,1.0,1.0,1,PROVED
rand_003,5,3,1,1,examples/brasp/random100/rand_003.brasp,1.0,1.0,1,PROVED
rand_003,5,5,1,2,examples/brasp/random_deep/rand_003.brasp,1.0,1.0,1,PROVED
rand_003,5,9,1,2,examples/brasp/random_deeper/rand_003.brasp,1.0,1.0,1,PROVED
rand_004,5,4,1,1,examples/brasp/random100/rand_004.brasp,1.0,1.0,1,PROVED
rand_004,5,5,1,2,examples/brasp/random_deep/rand_004.brasp,1.0,1.0,1,PROVED
rand_004,5,9,1,1,examples/brasp/random_deeper/rand_004.brasp,1.0,1.0,1,PROVED
rand_005,5,2,1,1,examples/brasp/random100/rand_005.brasp,1.0,1.0,1,PROVED
rand_005,5,5,1,1,examples/brasp/random_deep/rand_005.brasp,1.0,1.0,1,PROVED
rand_006,5,2,1,2,examples/brasp/random100/rand_006.brasp,1.0,1.0,1,PROVED
rand_006,5,6,1,2,examples/brasp/random_deep/rand_006.brasp,1.0,1.0,1,PROVED
rand_006,5,9,1,2,examples/brasp/random_deeper/rand_006.brasp,1.0,1.0,1,PROVED
rand_007,5,2,1,1,examples/brasp/random100/rand_007.brasp,1.0,1.0,1,PROVED
rand_007,5,5,1,2,examples/brasp/random_deep/rand_007.brasp,1.0,1.0,1,PROVED
rand_007,5,9,1,1,examples/brasp/random_deeper/rand_007.brasp,1.0,1.0,1,PROVED
rand_008,5,4,1,1,examples/brasp/random100/rand_008.brasp,1.0,1.0,1,PROVED
rand_008,5,5,1,1,examples/brasp/random_deep/rand_008.brasp,1.0,1.0,1,PROVED
rand_008,5,9,1,1,examples/brasp/random_deeper/rand_008.brasp,1.0,1.0,1,PROVED
rand_009,5,11,1,1,examples/brasp/random_deeper/rand_009.brasp,1.0,1.0,1,PROVED
rand_009,5,2,1,1,examples/brasp/random100/rand_009.brasp,1.0,1.0,1,PROVED
rand_010,5,11,1,1,examples/brasp/random_deeper/rand_010.brasp,1.0,1.0,1,PROVED
rand_010,5,5,1,1,examples/brasp/random_deep/rand_010.brasp,1.0,1.0,1,PROVED
rand_011,5,4,1,1,examples/brasp/random100/rand_011.brasp,1.0,1.0,1,PROVED
rand_011,5,6,1,2,examples/brasp/random_deep/rand_011.brasp,1.0,1.0,1,PROVED
rand_011,5,9,1,2,examples/brasp/random_deeper/rand_011.brasp,1.0,1.0,1,PROVED
rand_012,5,10,1,1,examples/brasp/random_deeper/rand_012.brasp,1.0,1.0,1,PROVED
rand_012,5,1,1,1,examples/brasp/random100/rand_012.brasp,1.0,1.0,1,PROVED
rand_012,5,5,1,1,examples/brasp/random_deep/rand_012.brasp,1.0,1.0,1,PROVED
rand_013,5,3,1,2,examples/brasp/random100/rand_013.brasp,1.0,1.0,1,PROVED
rand_013,5,8,1,1,examples/brasp/random_deep/rand_013.brasp,1.0,1.0,1,PROVED
rand_013,5,9,1,2,examples/brasp/random_deeper/rand_013.brasp,1.0,1.0,1,PROVED
rand_014,5,3,1,2,examples/brasp/random100/rand_014.brasp,1.0,1.0,1,PROVED
rand_014,5,6,1,1,examples/brasp/random_deep/rand_014.brasp,1.0,1.0,1,PROVED
rand_015,5,3,1,2,examples/brasp/random100/rand_015.brasp,1.0,1.0,1,PROVED
rand_015,5,6,1,1,examples/brasp/random_deep/rand_015.brasp,1.0,1.0,1,PROVED
rand_015,5,9,1,1,examples/brasp/random_deeper/rand_015.brasp,1.0,1.0,1,PROVED
rand_016,5,3,1,1,examples/brasp/random100/rand_016.brasp,1.0,1.0,1,PROVED
rand_016,5,5,1,1,examples/brasp/random_deep/rand_016.brasp,1.0,1.0,1,PROVED
rand_018,5,2,1,1,examples/brasp/random100/rand_018.brasp,1.0,1.0,1,PROVED
rand_018,5,5,1,1,examples/brasp/random_deep/rand_018.brasp,1.0,1.0,1,PROVED
rand_019,5,3,2,1,examples/brasp/random100/rand_019.brasp,1.0,1.0,1,PROVED
rand_019,5,5,1,1,examples/brasp/random_deep/rand_019.brasp,1.0,1.0,1,PROVED
rand_020,5,3,1,1,examples/brasp/random100/rand_020.brasp,1.0,1.0,1,PROVED
rand_020,5,6,1,2,examples/brasp/random_deep/rand_020.brasp,1.0,1.0,1,PROVED
rand_021,5,4,1,2,examples/brasp/random100/rand_021.brasp,1.0,1.0,1,PROVED
rand_022,5,5,1,1,examples/brasp/random_deep/rand_022.brasp,1.0,1.0,1,PROVED
rand_023,5,4,2,2,examples/brasp/random100/rand_023.brasp,1.0,1.0,1,PROVED
rand_023,5,5,1,2,examples/brasp/random_deep/rand_023.brasp,1.0,1.0,1,PROVED
rand_024,5,2,1,1,examples/brasp/random100/rand_024.brasp,1.0,1.0,1,PROVED
rand_025,5,4,1,2,examples/brasp/random100/rand_025.brasp,1.0,1.0,1,PROVED
rand_027,5,3,1,2,examples/brasp/random100/rand_027.brasp,1.0,1.0,1,PROVED
rand_028,5,3,1,1,examples/brasp/random100/rand_028.brasp,1.0,1.0,1,PROVED
rand_029,5,3,1,1,examples/brasp/random100/rand_029.brasp,1.0,1.0,1,PROVED
rand_031,5,3,1,1,examples/brasp/random100/rand_031.brasp,1.0,1.0,1,PROVED
rand_032,5,2,1,1,examples/brasp/random100/rand_032.brasp,1.0,1.0,1,PROVED
rand_033,5,2,1,1,examples/brasp/random100/rand_033.brasp,1.0,1.0,1,PROVED
rand_034,5,3,1,1,examples/brasp/random100/rand_034.brasp,1.0,1.0,1,PROVED
rand_035,5,3,1,1,examples/brasp/random100/rand_035.brasp,1.0,1.0,1,PROVED
rand_036,5,2,1,1,examples/brasp/random100/rand_036.brasp,1.0,1.0,1,PROVED
rand_037,5,3,1,1,examples/brasp/random100/rand_037.brasp,1.0,1.0,1,PROVED
rand_038,5,4,2,2,examples/brasp/random100/rand_038.brasp,1.0,1.0,1,PROVED
rand_039,5,3,1,1,examples/brasp/random100/rand_039.brasp,1.0,1.0,1,PROVED
rand_040,5,3,1,1,examples/brasp/random100/rand_040.brasp,1.0,1.0,1,PROVED
rand_041,5,1,2,1,examples/brasp/random100/rand_041.brasp,1.0,1.0,1,PROVED
rand_043,5,3,1,1,examples/brasp/random100/rand_043.brasp,1.0,1.0,1,PROVED
rand_044,5,2,1,1,examples/brasp/random100/rand_044.brasp,1.0,1.0,1,PROVED
rand_045,5,3,1,1,examples/brasp/random100/rand_045.brasp,1.0,1.0,1,PROVED
rand_047,5,3,1,1,examples/brasp/random100/rand_047.brasp,1.0,1.0,1,PROVED
rand_048,5,4,1,2,examples/brasp/random100/rand_048.brasp,1.0,1.0,1,PROVED
rand_049,5,3,1,2,examples/brasp/random100/rand_049.brasp,1.0,1.0,1,PROVED
rand_050,5,4,1,2,examples/brasp/random100/rand_050.brasp,1.0,1.0,1,PROVED
rand_051,5,3,1,1,examples/brasp/random100/rand_051.brasp,1.0,1.0,1,PROVED
rand_052,5,2,1,1,examples/brasp/random100/rand_052.brasp,1.0,1.0,1,PROVED
rand_053,5,3,1,1,examples/brasp/random100/rand_053.brasp,1.0,1.0,1,PROVED
rand_054,5,3,1,1,examples/brasp/random100/rand_054.brasp,1.0,1.0,1,PROVED
rand_055,5,2,1,1,examples/brasp/random100/rand_055.brasp,1.0,1.0,1,PROVED
rand_056,5,2,1,1,examples/brasp/random100/rand_056.brasp,1.0,1.0,1,PROVED
rand_057,5,3,1,1,examples/brasp/random100/rand_057.brasp,1.0,1.0,1,PROVED
rand_059,5,2,1,1,examples/brasp/random100/rand_059.brasp,1.0,1.0,1,PROVED
rand_060,5,1,2,1,examples/brasp/random100/rand_060.brasp,1.0,1.0,1,PROVED
rand_061,5,3,1,1,examples/brasp/random100/rand_061.brasp,1.0,1.0,1,PROVED
rand_062,5,3,2,2,examples/brasp/random100/rand_062.brasp,1.0,1.0,1,PROVED
rand_063,5,4,2,2,examples/brasp/random100/rand_063.brasp,1.0,1.0,1,PROVED
rand_064,5,3,1,1,examples/brasp/random100/rand_064.brasp,1.0,1.0,1,PROVED
rand_065,5,2,1,1,examples/brasp/random100/rand_065.brasp,1.0,1.0,1,PROVED
rand_066,5,3,1,1,examples/brasp/random100/rand_066.brasp,1.0,1.0,1,PROVED
rand_067,5,4,1,2,examples/brasp/random100/rand_067.brasp,1.0,1.0,1,PROVED
rand_068,5,4,1,2,examples/brasp/random100/rand_068.brasp,1.0,1.0,1,PROVED
rand_069,5,4,1,1,examples/brasp/random100/rand_069.brasp,1.0,1.0,1,PROVED
rand_070,5,4,1,1,examples/brasp/random100/rand_070.brasp,1.0,1.0,1,PROVED
rand_071,5,4,1,1,examples/brasp/random100/rand_071.brasp,1.0,1.0,1,PROVED
rand_072,5,4,1,1,examples/brasp/random100/rand_072.brasp,1.0,1.0,1,PROVED
rand_073,5,3,1,1,examples/brasp/random100/rand_073.brasp,1.0,1.0,1,PROVED
rand_075,5,3,1,2,examples/brasp/random100/rand_075.brasp,1.0,1.0,1,PROVED
rand_076,5,3,2,2,examples/brasp/random100/rand_076.brasp,1.0,1.0,1,PROVED
rand_077,5,2,1,1,examples/brasp/random100/rand_077.brasp,1.0,1.0,1,PROVED
rand_078,5,2,1,1,examples/brasp/random100/rand_078.brasp,1.0,1.0,1,PROVED
rand_080,5,4,2,2,examples/brasp/random100/rand_080.brasp,1.0,1.0,1,PROVED
rand_081,5,4,1,1,examples/brasp/random100/rand_081.brasp,1.0,1.0,1,PROVED
rand_082,5,4,1,2,examples/brasp/random100/rand_082.brasp,1.0,1.0,1,PROVED
rand_083,5,3,1,1,examples/brasp/random100/rand_083.brasp,1.0,1.0,1,PROVED
rand_085,5,3,1,1,examples/brasp/random100/rand_085.brasp,1.0,1.0,1,PROVED
rand_086,5,2,1,1,examples/brasp/random100/rand_086.brasp,1.0,1.0,1,PROVED
rand_087,5,3,1,1,examples/brasp/random100/rand_087.brasp,1.0,1.0,1,PROVED
rand_088,5,4,1,1,examples/brasp/random100/rand_088.brasp,1.0,1.0,1,PROVED
rand_089,5,2,1,2,examples/brasp/random100/rand_089.brasp,1.0,1.0,1,PROVED
rand_090,5,3,1,1,examples/brasp/random100/rand_090.brasp,1.0,1.0,1,PROVED
rand_091,5,2,1,2,examples/brasp/random100/rand_091.brasp,1.0,1.0,1,PROVED
rand_092,5,3,1,1,examples/brasp/random100/rand_092.brasp,1.0,1.0,1,PROVED
rand_093,5,3,2,2,examples/brasp/random100/rand_093.brasp,1.0,1.0,1,PROVED
rand_094,5,3,1,1,examples/brasp/random100/rand_094.brasp,1.0,1.0,1,PROVED
rand_095,5,2,2,1,examples/brasp/random100/rand_095.brasp,1.0,1.0,1,PROVED
rand_096,5,3,1,1,examples/brasp/random100/rand_096.brasp,1.0,1.0,1,PROVED
rand_097,5,4,1,1,examples/brasp/random100/rand_097.brasp,1.0,1.0,1,PROVED
rand_098,5,4,1,1,examples/brasp/random100/rand_098.brasp,1.0,1.0,1,PROVED
rand_099,5,2,1,2,examples/brasp/random100/rand_099.brasp,1.0,1.0,1,PROVED
